Countries and areas,Under-five mortality rate  1990,Under-five mortality rate  2000,Under-five mortality rate 2021,Annual rate of reduction in under-five mortality rate 2000-2021,"Under-five mortality rate
2021 Male","Under-five mortality rate
2021 Female",Infant mortality rate 1990,Infant mortality rate 2021,Neonatal mortality rate 1990,Neonatal mortality rate 2000,Neonatal mortality rate 2021,Mortality rate among children aged 5–14 years 1990,Mortality rate among children aged 5–14 years 2021,Stillbirth rate 2000,Stillbirth rate 2021,Annual rate of reduction in stillbirth rate 2000-2021,Under-five deaths 2021,Neonatal deaths 2021,Neonatal deaths as a percentage of under-five deaths 2021,Deaths among children aged 5–14 years 2021,Stillbirths 2021
Afghanistan,178,129,56,4,59,52,121,43,74,61,34,19,4,35,26,1.5,"77,811","49,061",63,"4,396","37,980"
Albania,41,27,9,5,10,9,35,8,13,12,7,6,2,7,4,2.3,279,209,75,59,128
Algeria,52,42,22,3,24,21,44,19,24,22,16,9,3,20,10,3.5,"21,567","14,888",69,"2,475","9,429"
Andorra,13,8,3,4.8,3,2,9,3,7,4,1,3,1,4,2,2.3,2,1,50,0,1
Angola,224,205,69,5.2,75,63,132,47,54,50,27,55,16,28,19,1.8,"89,896","35,644",40,"15,451","26,351"
Anguilla,17,10,4,4.1,4,4,14,4,9,5,2,3,1,-,-,-,1,0,0,0,-
Antigua and Barbuda,14,16,6,4.4,7,6,11,5,8,10,3,3,2,9,5,2.6,7,4,57,2,6
Argentina,29,20,7,5,8,6,25,6,15,11,5,3,1,8,4,2.8,"4,410","3,232",73,"1,064","2,719"
Armenia,49,31,11,5,12,10,42,10,23,16,6,3,2,20,11,3,372,190,51,74,369
Australia,9,6,4,2.4,4,3,8,3,5,4,2,2,1,4,2,2.1,"1,111",706,64,239,714
Austria,10,6,4,1.9,4,3,8,3,5,3,2,2,1,3,2,0.7,308,198,64,64,207
Azerbaijan,95,75,19,6.6,20,17,76,17,31,34,10,6,3,19,9,3.7,"2,435","1,210",50,553,"1,117"
Bahamas,23,16,13,1,14,12,20,11,14,8,7,4,2,12,11,0.4,61,33,54,13,53
Bahrain,23,12,7,2.8,7,7,20,6,15,5,3,4,2,8,6,1.7,128,52,41,36,102
Bangladesh,146,86,27,5.5,29,25,101,23,66,44,16,24,5,41,21,3.3,"82,081","48,319",59,"13,637","63,199"
Barbados,18,15,12,1.1,13,11,16,11,12,9,8,3,2,8,8,0.5,36,24,67,5,23
Belarus,15,13,3,7.4,3,2,12,2,10,5,1,4,1,5,2,4.1,251,78,31,122,195
Belgium,10,6,4,1.7,5,4,8,3,5,3,2,2,1,3,3,0.7,476,283,59,102,342
Belize,38,24,11,3.6,12,10,31,10,19,12,7,5,3,10,7,1.9,80,53,66,21,50
Benin,173,137,84,2.3,89,77,104,55,45,39,29,42,19,28,20,1.6,"38,680","13,907",36,"6,514","9,713"
Bhutan,127,77,27,5.1,29,24,89,22,42,32,15,17,7,17,9,3,263,144,55,95,88
Bolivia (Plurinational State of),121,76,25,5.3,27,22,84,20,41,29,13,12,4,16,9,2.7,"6,484","3,477",54,988,"2,333"
Bosnia and Herzegovina,18,10,6,2.7,6,5,16,5,11,7,4,3,1,4,3,2,159,113,71,40,74
Botswana,45,74,35,3.6,38,31,34,28,18,8,18,19,7,11,15,-1.5,"2,131","1,098",52,383,912
Brazil,63,35,14,4.2,16,13,53,13,26,19,8,4,2,10,7,1.8,"40,107","23,391",58,"6,566","19,411"
British Virgin Islands,19,16,10,1.9,11,9,17,10,10,8,5,3,2,-,-,-,2,1,50,1,-
Brunei Darussalam,13,10,11,-0.5,12,10,10,10,6,5,6,4,2,5,5,0.2,72,38,53,13,30
Bulgaria,18,17,6,4.8,7,6,15,5,8,8,3,4,2,8,5,1.6,377,175,46,106,317
Burkina Faso,199,179,83,3.7,87,78,99,52,46,41,25,38,17,29,20,1.7,"63,466","19,832",31,"10,688","16,351"
Burundi,170,155,53,5.1,57,48,103,38,39,37,20,59,19,29,18,2.2,"22,715","8,943",39,"7,263","8,130"
Cabo Verde,60,38,14,4.9,15,12,47,12,20,19,8,6,2,15,9,2.2,136,84,62,20,92
Cambodia,116,106,25,6.9,28,22,85,21,40,35,13,32,4,25,11,3.7,"8,013","4,119",51,"1,431","3,705"
Cameroon,136,144,70,3.5,75,64,85,47,40,35,26,32,21,24,19,1.1,"64,977","24,360",37,"15,529","18,288"
Canada,8,6,5,1,5,5,7,4,4,4,3,2,1,3,3,0.7,"1,873","1,274",68,368,"1,041"
Central African Republic,177,166,100,2.4,107,93,115,75,51,43,32,30,23,31,26,0.8,"22,387","7,483",33,"3,924","6,337"
Chad,212,184,107,2.6,114,100,112,66,52,44,32,49,23,32,25,1.2,"76,471","24,070",31,"11,491","19,317"
Chile,19,11,7,2.4,7,6,16,6,9,6,4,3,1,4,3,2.2,"1,492",981,66,308,609
China,54,37,7,7.9,7,7,43,5,30,21,3,7,2,15,5,5.3,"88,271","34,850",39,"31,781","53,551"
Colombia,36,25,13,3.2,14,11,29,11,18,14,7,5,2,9,7,1.2,"9,382","5,106",54,"1,748","5,255"
Comoros,126,96,50,3.2,52,47,89,39,50,40,26,16,5,30,24,0.9,"1,192",622,52,109,600
Congo,91,114,43,4.6,47,39,60,32,27,30,18,31,7,21,16,1.4,"7,604","3,297",43,"1,050","2,868"
Cook Islands,24,18,7,4.4,7,7,20,6,13,10,4,5,2,10,5,3.4,2,1,50,0,1
Costa Rica,17,13,8,2.6,8,7,14,6,9,8,5,3,2,5,4,0.8,479,328,68,121,260
Côte d'Ivoire,153,143,75,3.1,83,67,104,56,49,46,32,28,24,30,22,1.4,"68,056","30,095",44,"17,524","21,042"
Croatia,13,8,5,2.8,5,4,11,4,8,6,3,3,1,5,3,2.5,165,97,59,50,105
Cuba,14,9,5,2.7,5,4,11,4,7,4,2,4,2,11,7,2.2,526,239,45,222,703
Cyprus,11,7,3,4.1,3,3,10,2,6,4,2,2,1,4,3,2.5,36,21,58,15,33
Czechia,12,5,3,3.3,3,2,10,2,7,3,1,2,1,3,3,0.2,293,150,51,97,285
Democratic People's Republic of Korea,43,60,15,6.5,17,14,33,10,22,27,8,8,3,15,8,2.9,"5,297","2,835",54,"1,122","2,878"
Democratic Republic of the Congo,186,160,79,3.4,85,72,120,62,42,39,26,37,20,32,28,0.6,"307,593","106,733",35,"54,698","114,852"
Denmark,9,6,4,2.2,4,3,7,3,4,3,2,2,1,3,2,2.4,222,156,70,41,121
Djibouti,118,101,54,2.9,59,49,92,46,49,44,30,26,12,36,27,1.4,"1,316",725,55,279,674
Dominica,16,17,36,-3.6,39,33,13,32,10,13,28,4,3,11,15,-1.5,34,27,79,3,15
Dominican Republic,60,40,33,0.9,36,30,46,27,24,23,23,7,3,15,13,0.8,"6,799","4,705",69,641,"2,640"
Ecuador,54,30,12,4.1,14,11,42,11,22,14,7,7,2,16,9,2.7,"3,722","1,989",53,755,"2,670"
Egypt,86,47,19,4.3,20,18,63,16,33,22,10,11,4,17,9,3,"46,892","24,704",53,"9,740","22,876"
El Salvador,60,33,12,4.7,14,11,46,11,23,15,6,6,4,20,9,3.9,"1,268",618,49,422,906
Equatorial Guinea,179,156,77,3.4,83,70,121,57,50,46,28,35,15,19,15,1.1,"3,768","1,416",38,634,758
Eritrea,153,85,38,3.8,43,33,94,29,35,27,17,41,7,21,16,1.4,"3,892","1,799",46,674,"1,704"
Estonia,18,11,2,8.1,2,2,14,2,10,5,1,5,1,5,2,4.1,28,12,43,15,26
Eswatini,68,112,53,3.6,57,48,52,41,23,29,23,11,11,16,14,0.6,"1,526",670,44,314,416
Ethiopia,201,140,47,5.2,52,41,120,34,59,48,26,74,7,33,21,2.2,"177,737","101,951",57,"21,616","81,798"
Fiji,29,23,28,-1,30,25,24,23,13,10,14,12,5,10,9,0.6,501,247,49,88,165
Finland,7,4,2,3.2,2,2,6,2,4,2,1,2,1,3,2,1.5,102,60,59,44,91
France,9,5,4,1,5,4,7,3,4,3,3,2,1,5,3,2.3,"2,985","1,713",57,564,"2,083"
Gabon,92,84,40,3.6,44,36,60,29,31,28,19,18,12,18,14,1.1,"2,512","1,203",48,629,908
Gambia,167,114,48,4.1,53,43,81,34,50,40,25,33,10,27,21,1.3,"4,138","2,221",54,730,"1,887"
Georgia,48,37,9,6.5,11,8,41,8,25,23,5,4,2,16,6,4.9,474,272,57,96,288
Germany,9,5,4,1.9,4,3,7,3,3,3,2,2,1,3,3,0.3,"2,723","1,673",61,569,"2,115"
Ghana,128,100,44,3.9,48,39,80,33,42,36,23,25,10,28,21,1.3,"39,423","20,641",52,"8,049","19,787"
Greece,10,6,4,2.6,4,3,9,3,6,4,2,2,1,5,3,1.8,299,178,60,78,245
Grenada,22,15,16,-0.2,17,15,18,14,12,8,10,5,4,9,9,-0.2,32,20,63,8,18
Guatemala,80,52,23,3.9,25,21,60,20,28,21,11,13,3,20,13,1.9,"8,704","4,021",46,"1,311","5,030"
Guinea,233,166,99,2.5,106,91,138,64,62,46,31,43,18,30,23,1.2,"44,995","14,486",32,"6,529","11,089"
Guinea-Bissau,223,174,74,4.1,80,68,132,50,64,55,34,45,13,46,31,1.8,"4,693","2,197",47,722,"2,064"
Guyana,61,47,28,2.5,31,24,47,23,31,27,17,5,5,19,13,1.7,450,276,61,71,217
Haiti,145,104,59,2.7,64,53,100,45,39,30,24,28,12,21,18,0.8,"15,748","6,540",42,"2,904","4,859"
Holy See,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,58,37,17,3.9,18,15,45,14,22,18,10,9,5,14,8,2.7,"3,570","2,059",58,"1,012","1,797"
Hungary,17,10,4,4.4,4,4,15,3,11,6,2,3,1,4,4,0.8,369,191,52,88,330
Iceland,6,4,3,2,3,2,5,2,3,2,1,2,1,3,2,2,12,6,50,3,8
India,127,92,31,5.2,30,31,89,25,57,45,19,21,4,30,12,4.2,"709,366","441,801",62,"100,307","286,482"
Indonesia,84,52,22,4.1,24,20,62,19,31,23,11,13,5,15,9,2.5,"100,012","50,931",51,"22,469","41,163"
Iran (Islamic Republic of),57,36,13,5,13,12,45,11,25,19,8,14,3,12,7,2.6,"15,806","9,719",61,"4,456","8,746"
Iraq,54,44,25,2.8,27,22,42,21,26,24,14,11,5,17,12,1.9,"28,890","16,772",58,"5,673","14,091"
Ireland,9,7,3,3.9,3,3,8,3,5,4,2,2,1,5,3,3.2,187,121,65,41,148
Israel,12,7,3,3.4,4,3,10,3,6,4,2,2,1,4,3,2.1,589,302,51,126,480
Italy,10,6,3,3.6,3,2,8,2,6,3,1,2,1,3,2,1.1,"1,081",604,56,333,915
Jamaica,28,21,12,2.5,14,11,23,11,18,17,10,4,3,18,14,1.2,414,342,83,103,483
Japan,6,5,2,3.2,2,2,5,2,3,2,1,2,1,3,2,2.3,"1,930",667,35,758,"1,292"
Jordan,36,27,15,2.9,16,13,30,13,20,16,9,5,2,12,9,1.5,"3,545","2,087",59,580,"2,221"
Kazakhstan,52,43,10,6.8,12,9,44,9,23,24,5,6,3,11,8,1.5,"4,295","2,081",48,938,"3,384"
Kenya,102,99,37,4.7,40,34,65,28,27,27,18,16,9,20,19,0.3,"54,038","27,040",50,"12,259","27,720"
Kiribati,92,68,48,1.6,52,44,67,38,35,28,21,15,9,18,14,1.1,168,73,43,28,50
Kuwait,18,13,9,1.8,10,8,15,7,10,7,5,5,2,7,5,1,434,217,50,114,242
Kyrgyzstan,65,50,17,5,19,15,54,16,24,20,12,6,3,11,6,2.5,"2,774","1,881",68,390,"1,018"
Lao People's Democratic Republic,154,107,43,4.4,47,38,106,34,47,38,21,42,7,23,16,1.7,"6,939","3,434",49,"1,031","2,666"
Latvia,17,14,4,6.4,4,3,13,3,8,7,2,5,1,6,3,2.7,65,35,54,19,58
Lebanon,32,20,8,4.2,9,8,27,7,20,12,5,6,2,11,6,2.9,724,404,56,216,505
Lesotho,84,107,73,1.8,79,66,68,57,39,36,35,16,8,37,27,1.5,"4,312","2,100",49,423,"1,632"
Liberia,264,189,76,4.3,82,70,176,57,60,48,30,32,17,30,23,1.3,"12,187","4,866",40,"2,377","3,806"
Libya,42,28,11,4.6,12,10,36,9,21,15,6,8,3,12,7,2.5,"1,306",692,53,357,827
Liechtenstein,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lithuania,15,11,3,5.6,4,3,12,3,8,5,2,4,1,5,3,3,91,51,56,37,69
Luxembourg,9,5,3,2.4,3,2,7,2,4,2,2,2,0,4,4,-0.1,18,11,61,2,24
