Countries and areas,Under-five mortality rate  1990,Under-five mortality rate  2000,Under-five mortality rate 2021,Annual rate of reduction in under-five mortality rate 2000-2021,"Under-five mortality rate
2021 Male","Under-five mortality rate
2021 Female",Infant mortality rate 1990,Infant mortality rate 2021,Neonatal mortality rate 1990,Neonatal mortality rate 2000,Neonatal mortality rate 2021,Mortality rate among children aged 5–14 years 1990,Mortality rate among children aged 5–14 years 2021,Stillbirth rate 2000,Stillbirth rate 2021,Annual rate of reduction in stillbirth rate 2000-2021,Under-five deaths 2021,Neonatal deaths 2021,Neonatal deaths as a percentage of under-five deaths 2021,Deaths among children aged 5–14 years 2021,Stillbirths 2021
Madagascar,156,105,66,2.2,71,61,95,45,39,31,24,36,21,20,18,0.5,"57,839","21,571",37,"15,623","16,743"
Malawi,245,174,42,6.8,46,37,142,31,51,39,19,38,12,22,16,1.5,"26,800","12,608",47,"6,771","10,668"
Malaysia,17,10,8,1.4,8,7,14,6,8,5,4,5,2,5,5,-0.3,"3,866","2,153",56,908,"2,590"
Maldives,86,39,6,9,6,5,63,5,39,22,4,9,1,15,5,5.4,44,30,68,11,36
Mali,231,188,97,3.1,102,92,120,62,67,51,33,40,21,32,23,1.5,"85,222","30,484",36,"13,891","21,858"
Malta,11,8,6,1.3,6,5,10,5,8,5,4,1,1,4,3,1.3,27,18,67,4,14
Marshall Islands,47,42,30,1.7,33,26,38,25,18,19,14,9,6,14,11,0.9,26,11,42,6,9
Mauritania,117,99,40,4.2,45,36,71,32,45,39,23,20,8,25,17,1.9,"6,070","3,463",57,"1,014","2,604"
Mauritius,23,19,17,0.6,18,15,20,15,15,12,11,3,2,13,10,0.9,223,142,64,26,140
Mexico,45,28,13,3.6,14,12,36,11,22,14,8,5,2,10,7,1.8,"25,592","15,274",60,"5,372","12,531"
Micronesia (Federated States of),49,38,25,2.1,28,22,39,21,24,20,13,9,5,14,11,1.2,58,31,53,12,27
Monaco,8,5,3,2.7,3,3,4,1,4,3,2,2,1,3,2,2.8,1,0,0,0,1
Mongolia,107,64,15,7,16,13,77,13,30,23,8,11,3,12,4,4.8,"1,074",541,50,222,316
Montenegro,16,14,2,8.7,2,2,15,2,11,8,1,2,1,5,3,2,16,7,44,7,24
Montserrat,17,11,5,3.5,5,5,15,5,9,6,3,3,1,-,-,-,0,0,0,0,-
Morocco,81,52,18,5.1,20,16,64,15,37,28,11,9,2,21,13,2.1,"11,788","7,239",61,"1,626","8,722"
