,Countries and areas,Year,Indicator,Value
0,Afghanistan,1990,Under-five mortality rate,178
1,Albania,1990,Under-five mortality rate,41
2,Algeria,1990,Under-five mortality rate,52
3,Andorra,1990,Under-five mortality rate,13
4,Angola,1990,Under-five mortality rate,224
5,Anguilla,1990,Under-five mortality rate,17
6,Antigua and Barbuda,1990,Under-five mortality rate,14
7,Argentina,1990,Under-five mortality rate,29
8,Armenia,1990,Under-five mortality rate,49
9,Australia,1990,Under-five mortality rate,9
10,Austria,1990,Under-five mortality rate,10
11,Azerbaijan,1990,Under-five mortality rate,95
12,Bahamas,1990,Under-five mortality rate,23
13,Bahrain,1990,Under-five mortality rate,23
14,Bangladesh,1990,Under-five mortality rate,146
15,Barbados,1990,Under-five mortality rate,18
16,Belarus,1990,Under-five mortality rate,15
17,Belgium,1990,Under-five mortality rate,10
18,Belize,1990,Under-five mortality rate,38
19,Benin,1990,Under-five mortality rate,173
20,Bhutan,1990,Under-five mortality rate,127
21,Bolivia (Plurinational State of),1990,Under-five mortality rate,121
22,Bosnia and Herzegovina,1990,Under-five mortality rate,18
23,Botswana,1990,Under-five mortality rate,45
24,Brazil,1990,Under-five mortality rate,63
25,British Virgin Islands,1990,Under-five mortality rate,19
26,Brunei Darussalam,1990,Under-five mortality rate,13
27,Bulgaria,1990,Under-five mortality rate,18
28,Burkina Faso,1990,Under-five mortality rate,199
29,Burundi,1990,Under-five mortality rate,170
30,Cabo Verde,1990,Under-five mortality rate,60
31,Cambodia,1990,Under-five mortality rate,116
32,Cameroon,1990,Under-five mortality rate,136
33,Canada,1990,Under-five mortality rate,8
34,Central African Republic,1990,Under-five mortality rate,177
35,Chad,1990,Under-five mortality rate,212
36,Chile,1990,Under-five mortality rate,19
37,China,1990,Under-five mortality rate,54
38,Colombia,1990,Under-five mortality rate,36
39,Comoros,1990,Under-five mortality rate,126
40,Congo,1990,Under-five mortality rate,91
41,Cook Islands,1990,Under-five mortality rate,24
42,Costa Rica,1990,Under-five mortality rate,17
43,Cte d'Ivoire,1990,Under-five mortality rate,153
44,Croatia,1990,Under-five mortality rate,13
45,Cuba,1990,Under-five mortality rate,14
46,Cyprus,1990,Under-five mortality rate,11
47,Czechia,1990,Under-five mortality rate,12
48,Democratic People's Republic of Korea,1990,Under-five mortality rate,43
49,Democratic Republic of the Congo,1990,Under-five mortality rate,186
50,Denmark,1990,Under-five mortality rate,9
51,Djibouti,1990,Under-five mortality rate,118
52,Dominica,1990,Under-five mortality rate,16
53,Dominican Republic,1990,Under-five mortality rate,60
54,Ecuador,1990,Under-five mortality rate,54
55,Egypt,1990,Under-five mortality rate,86
56,El Salvador,1990,Under-five mortality rate,60
57,Equatorial Guinea,1990,Under-five mortality rate,179
58,Eritrea,1990,Under-five mortality rate,153
59,Estonia,1990,Under-five mortality rate,18
60,Eswatini,1990,Under-five mortality rate,68
61,Ethiopia,1990,Under-five mortality rate,201
62,Fiji,1990,Under-five mortality rate,29
63,Finland,1990,Under-five mortality rate,7
64,France,1990,Under-five mortality rate,9
